Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,10/11/2024,"BYUI FOOD SVCS REXBURG ID                    10/10",-6.35,DEBIT_CARD,9596.08,,
DEBIT,10/11/2024,"McDonalds 5138 120-8356006 ID                10/10",-8.89,DEBIT_CARD,9602.43,,
CREDIT,10/11/2024,"Online Transfer from  CHK ...2685 transaction#: 22271190452",50.00,ACCT_XFER,9611.32,,
DEBIT,10/07/2024,"Payment to Chase card ending in 9498 10/07",-162.65,LOAN_PMT,9561.32,,
DEBIT,10/04/2024,"Payment to Chase card ending in 9498 10/04",-72.29,LOAN_PMT,9723.97,,
DEBIT,10/04/2024,"VENMO            PAYMENT    1037327537695   WEB ID: 3264681992",-44.00,ACH_DEBIT,9796.26,,
CREDIT,10/04/2024,"Online Transfer from  CHK ...2685 transaction#: 22185624585",50.00,ACCT_XFER,9840.26,,
DEBIT,09/30/2024,"Amazon.com*FW0L91WN3 Amzn.com/bill WA        09/29",-3.01,DEBIT_CARD,9790.26,,
DEBIT,09/30/2024,"McDonalds 6435 130-7733744 WY                09/28",-5.30,DEBIT_CARD,9793.27,,
DEBIT,09/30/2024,"McDonalds 5138 120-8356006 ID                09/27",-9.74,DEBIT_CARD,9798.57,,
DSLIP,09/30/2024,"Cash Redemption",220.37,DEPOSIT,9808.31,,
DEBIT,09/27/2024,"WAL-MART #1878 REXBURG ID                    09/27",-57.95,DEBIT_CARD,9587.94,,
CREDIT,09/27/2024,"Online Transfer from  CHK ...2685 transaction#: 22114418596",50.00,ACCT_XFER,9645.89,,
DEBIT,09/26/2024,"TACO BELL 029852 REXBURG ID                  09/25",-2.54,DEBIT_CARD,9595.89,,
DEBIT,09/25/2024,"Payment to Chase card ending in 9498 09/25",-103.97,LOAN_PMT,9598.43,,
DEBIT,09/23/2024,"WAL-MART SUPER CENTER REXBURG ID             09/23",-62.39,DEBIT_CARD,9702.40,,
DEBIT,09/20/2024,"Payment to Chase card ending in 9498 09/20",-129.33,LOAN_PMT,9764.79,,
DEBIT,09/20/2024,"CASHNET SMARTPAY BYUI       763809633       WEB ID: 9061578063",-1800.00,ACH_DEBIT,9894.12,,
CREDIT,09/20/2024,"Online Transfer from  CHK ...2685 transaction#: 22040700179",50.00,ACCT_XFER,11694.12,,
CREDIT,09/20/2024,"Online Transfer from SAV ...9019 transaction#: 22118539471",1800.00,ACCT_XFER,11644.12,,
DEBIT,09/17/2024,"VENMO            PAYMENT    1036981464948   WEB ID: 3264681992",-5.28,ACH_DEBIT,9844.12,,
DEBIT,09/16/2024,"VENMO            PAYMENT    1036942265821   WEB ID: 3264681992",-5.00,ACH_DEBIT,9849.40,,
DEBIT,09/16/2024,"WINCO FOODS #42 333 NO IDAHO FALLS ID322237  09/14",-7.27,DEBIT_CARD,9854.40,,
DEBIT,09/13/2024,"WAL-MART SUPER CENTER IDAHO FALLS ID         09/13",-74.29,DEBIT_CARD,9861.67,,
DEBIT,09/13/2024,"COSTCO GAS #0484 OREM UT             321072  09/13",-38.47,DEBIT_CARD,9935.96,,
CREDIT,09/13/2024,"Online Transfer from  CHK ...2685 transaction#: 21969476080",50.00,ACCT_XFER,9974.43,,
DEBIT,09/12/2024,"WM SUPERC WAL-MART SUP WASHINGTON UT         09/12",-5.85,DEBIT_CARD,9924.43,,
DEBIT,09/12/2024,"COSTCO GAS #0672 ST GEORGE UT        158750  09/12",-38.62,DEBIT_CARD,9930.28,,
DEBIT,09/11/2024,"CASHNET SMARTPAY BYUI       763809633       WEB ID: 9061578063",-60.00,ACH_DEBIT,9968.90,,
CREDIT,09/11/2024,"Online Transfer from CHK ...2685 transaction#: 22026701020",150.00,ACCT_XFER,10028.90,,
DEBIT,09/10/2024,"COSTCO WHSE #1317 EASTVALE CA        406642  09/10",-53.98,DEBIT_CARD,9878.90,,
DEBIT,09/10/2024,"COSTCO GAS #1317 EASTVALE CA         801069  09/10",-31.21,DEBIT_CARD,9932.88,,
CREDIT,09/10/2024,"Online Transfer from CHK ...2685 transaction#: 22014555481",100.00,ACCT_XFER,9964.09,,
DEBIT,09/09/2024,"RC Rent (208) 26 RC Rent (2 ST-E1Y5K2A1C1Z3 CCD ID: 1800948598",-1382.95,MISC_DEBIT,9864.09,,
DEBIT,09/09/2024,"Payment to Chase card ending in 9498 09/09",-197.75,LOAN_PMT,11247.04,,
CREDIT,09/09/2024,"Online Transfer from SAV ...9019 transaction#: 21996628062",1330.00,ACCT_XFER,11444.79,,
CREDIT,09/06/2024,"Online Transfer from  CHK ...2685 transaction#: 21888398280",50.00,ACCT_XFER,10114.79,,
DEBIT,09/04/2024,"ALLTRAILS* TRIAL ALL HTTPSWWW.ALLT CA        09/04",-35.99,DEBIT_CARD,10064.79,,
CREDIT,08/30/2024,"Online Transfer from  CHK ...2685 transaction#: 21816465821",50.00,ACCT_XFER,10100.78,,
DEBIT,08/26/2024,"Payment to Chase card ending in 9498 08/26",-98.81,LOAN_PMT,10050.78,,
